date,hs_code,commodity,import_value_usd_m,export_value_usd_m,import_volume_teu,export_volume_teu
2026-03-01,2709,Crude Petroleum Oils,73816.559935,65129.841678,81198.4,71642.6
2026-04-01,2709,Crude Petroleum Oils,84939.998991,105236.125636,93434.0,115759.7
2026-05-01,2709,Crude Petroleum Oils,93145.14349,119109.603718,102459.4,131020.09999999999
2026-06-01,2709,Crude Petroleum Oils,93256.883342,82757.806681,102582.7,91033.5
2026-03-01,2711,Petroleum Gases,9434.041521000001,46992.976,10377.4,51692.0
2026-04-01,2711,Petroleum Gases,6409.252572,50774.359677,7049.9,55851.6
2026-05-01,2711,Petroleum Gases,4372.654266,45296.441677,4809.7,49826.1
2026-06-01,2711,Petroleum Gases,5277.838895,44165.447404,5805.6,48581.7
2026-03-01,3004,Medicaments Packaged,33429.934893,17855.425684,36772.8,19640.9
2026-04-01,3004,Medicaments Packaged,35613.516472,15717.397074,39174.8,17288.2
2026-05-01,3004,Medicaments Packaged,37503.163954,16923.507802,41253.6,18615.8
2026-06-01,3004,Medicaments Packaged,37551.239164,15381.800305,41306.2,16918.9
2026-03-01,8471,Automatic Data Processing Machines,194210.247973,49003.616135000004,213631.3,53903.8
2026-04-01,8471,Automatic Data Processing Machines,213172.202618,54620.010366,234489.1,60082.200000000004
2026-05-01,8471,Automatic Data Processing Machines,220874.953338,40314.000725,242962.0,44344.9
2026-06-01,8471,Automatic Data Processing Machines,223133.637687,36968.423428,245447.0,40665.1
2026-03-01,8517,Telephone Sets & Network Equipment,74604.754408,24537.310229000002,82065.2,26990.0
2026-04-01,8517,Telephone Sets & Network Equipment,76026.32621099999,23975.640946,83628.4,26373.4
2026-05-01,8517,Telephone Sets & Network Equipment,76005.017556,24900.951739,83605.1,27391.100000000002
2026-06-01,8517,Telephone Sets & Network Equipment,87830.633298,26632.156572,96613.2,29295.399999999998
2026-03-01,8542,Electronic Integrated Circuits,25236.375843,30421.350998,27760.100000000002,33463.5
2026-04-01,8542,Electronic Integrated Circuits,23879.836213000002,26765.772692,26267.7,29441.5
2026-05-01,8542,Electronic Integrated Circuits,24012.798367,26885.316917,26414.2,29573.7
2026-06-01,8542,Electronic Integrated Circuits,26648.424222999998,27200.444174,29313.2,29920.4
2026-03-01,8703,Motor Cars & Vehicles,110211.027143,28920.525348,121231.9,31813.0
2026-04-01,8703,Motor Cars & Vehicles,97397.699731,25051.186249,107137.3,27556.399999999998
2026-05-01,8703,Motor Cars & Vehicles,101309.41316,26088.526812,111440.3,28696.8
2026-06-01,8703,Motor Cars & Vehicles,103101.298442,25703.816172,113411.7,28273.7
2026-03-01,8708,Motor Vehicle Parts,50861.940509,27701.782301,55948.1,30471.3
2026-04-01,8708,Motor Vehicle Parts,48575.20689,26722.796969,53432.3,29394.5
2026-05-01,8708,Motor Vehicle Parts,50375.983229,29849.72324,55413.3,32834.6
2026-06-01,8708,Motor Vehicle Parts,47649.43247,28586.405581,52414.3,31443.7
