indicator,area_or_country,Frequency,year,TimeSeriesId,TimeSeriesDescription,year,CL_UNIT,UNIT_MULT,value,NoteRef,requested_indicator
ExpGds,AllCountries,A,1960,TSI_ItaExpGds_A,Exports of goods; annual,1960,USD,6,19650,,ExpGds
ExpGds,AllCountries,A,1961,TSI_ItaExpGds_A,Exports of goods; annual,1961,USD,6,20108,,ExpGds
ExpGds,AllCountries,A,1962,TSI_ItaExpGds_A,Exports of goods; annual,1962,USD,6,20781,,ExpGds
ExpGds,AllCountries,A,1963,TSI_ItaExpGds_A,Exports of goods; annual,1963,USD,6,22272,,ExpGds
ExpGds,AllCountries,A,1964,TSI_ItaExpGds_A,Exports of goods; annual,1964,USD,6,25501,,ExpGds
ExpGds,AllCountries,A,1965,TSI_ItaExpGds_A,Exports of goods; annual,1965,USD,6,26461,,ExpGds
ExpGds,AllCountries,A,1966,TSI_ItaExpGds_A,Exports of goods; annual,1966,USD,6,29310,,ExpGds
ExpGds,AllCountries,A,1967,TSI_ItaExpGds_A,Exports of goods; annual,1967,USD,6,30666,,ExpGds
ExpGds,AllCountries,A,1968,TSI_ItaExpGds_A,Exports of goods; annual,1968,USD,6,33626,,ExpGds
ExpGds,AllCountries,A,1969,TSI_ItaExpGds_A,Exports of goods; annual,1969,USD,6,36414,,ExpGds
ExpGds,AllCountries,A,1970,TSI_ItaExpGds_A,Exports of goods; annual,1970,USD,6,42469,,ExpGds
ExpGds,AllCountries,A,1971,TSI_ItaExpGds_A,Exports of goods; annual,1971,USD,6,43319,,ExpGds
ExpGds,AllCountries,A,1972,TSI_ItaExpGds_A,Exports of goods; annual,1972,USD,6,49381,,ExpGds
ExpGds,AllCountries,A,1973,TSI_ItaExpGds_A,Exports of goods; annual,1973,USD,6,71410,,ExpGds
ExpGds,AllCountries,A,1974,TSI_ItaExpGds_A,Exports of goods; annual,1974,USD,6,98306,,ExpGds
ExpGds,AllCountries,A,1975,TSI_ItaExpGds_A,Exports of goods; annual,1975,USD,6,107088,,ExpGds
ExpGds,AllCountries,A,1976,TSI_ItaExpGds_A,Exports of goods; annual,1976,USD,6,114745,,ExpGds
ExpGds,AllCountries,A,1977,TSI_ItaExpGds_A,Exports of goods; annual,1977,USD,6,120816,,ExpGds
ExpGds,AllCountries,A,1978,TSI_ItaExpGds_A,Exports of goods; annual,1978,USD,6,142075,,ExpGds
ExpGds,AllCountries,A,1979,TSI_ItaExpGds_A,Exports of goods; annual,1979,USD,6,184439,,ExpGds
ExpGds,AllCountries,A,1980,TSI_ItaExpGds_A,Exports of goods; annual,1980,USD,6,224250,,ExpGds
ExpGds,AllCountries,A,1981,TSI_ItaExpGds_A,Exports of goods; annual,1981,USD,6,237044,,ExpGds
ExpGds,AllCountries,A,1982,TSI_ItaExpGds_A,Exports of goods; annual,1982,USD,6,211157,,ExpGds
ExpGds,AllCountries,A,1983,TSI_ItaExpGds_A,Exports of goods; annual,1983,USD,6,201799,,ExpGds
ExpGds,AllCountries,A,1984,TSI_ItaExpGds_A,Exports of goods; annual,1984,USD,6,219926,,ExpGds
ExpGds,AllCountries,A,1985,TSI_ItaExpGds_A,Exports of goods; annual,1985,USD,6,215915,,ExpGds
