date,goods_exports_usd_m,goods_imports_usd_m,services_exports_usd_m,services_imports_usd_m,goods_balance_usd_m,services_balance_usd_m,overall_balance_usd_m
2021-09-01,141769.6,208354.1,69974.4,55238.0,-66584.5,14736.3,-51848.1
2021-10-01,143662.3,206766.1,70373.0,55604.5,-63103.8,14768.5,-48335.2
2021-11-01,144062.6,209031.9,71074.5,55742.8,-64969.3,15331.7,-49637.6
2021-12-01,145484.9,207264.5,71601.6,56110.3,-61779.6,15491.3,-46288.3
2022-01-01,144271.8,205801.6,71718.4,56104.2,-61529.8,15614.2,-45915.6
2022-02-01,143736.8,208600.9,71368.4,55976.1,-64864.0,15392.4,-49471.7
2022-03-01,144593.1,209311.2,71619.6,56268.0,-64718.0,15351.7,-49366.4
2022-04-01,143348.0,211518.8,72057.0,56746.2,-68170.8,15310.7,-52860.1
2022-05-01,144143.4,215276.4,72305.8,57075.8,-71133.0,15230.0,-55903.1
2022-06-01,142857.2,214687.3,72157.0,57257.2,-71830.1,14899.7,-56930.4
2022-07-01,143029.3,213699.4,72364.9,57084.3,-70670.1,15280.7,-55389.4
2022-08-01,143212.6,217287.2,72631.6,57183.6,-74074.6,15448.0,-58626.6
2022-09-01,143513.6,216619.7,72980.4,57033.4,-73106.1,15947.0,-57159.0
2022-10-01,142436.7,217432.2,72781.1,57328.0,-74995.5,15453.1,-59542.4
2022-11-01,143205.3,218093.6,72666.4,57386.6,-74888.3,15279.8,-59608.5
2022-12-01,145153.9,220109.2,73304.4,57229.7,-74955.3,16074.7,-58880.6
2023-01-01,147220.0,220139.4,73405.8,57268.5,-72919.3,16137.3,-56782.1
2023-02-01,146114.0,222525.2,73373.0,57405.2,-76411.2,15967.8,-60443.4
2023-03-01,148053.3,224151.9,74131.3,57291.7,-76098.6,16839.6,-59259.0
2023-04-01,148138.7,226152.9,74175.5,57454.6,-78014.2,16720.9,-61293.3
2023-05-01,146981.2,227807.1,74376.2,57945.9,-80825.9,16430.3,-64395.6
2023-06-01,146968.1,228888.2,74794.1,58257.9,-81920.0,16536.3,-65383.8
2023-07-01,146722.4,230458.2,74781.9,57984.0,-83735.7,16797.9,-66937.8
2023-08-01,148647.6,233183.1,74832.8,57706.6,-84535.5,17126.3,-67409.2
2023-09-01,149101.1,233757.8,75194.2,57724.0,-84656.7,17470.2,-67186.5
2023-10-01,150372.5,235853.5,75477.6,57604.4,-85481.0,17873.2,-67607.8
2023-11-01,149034.8,235947.7,76213.2,57663.5,-86912.9,18549.7,-68363.2
2023-12-01,148718.2,236411.4,76589.5,57582.1,-87693.2,19007.4,-68685.8
2024-01-01,150006.1,234155.0,77350.6,57343.5,-84148.9,20007.1,-64141.8
2024-02-01,148982.0,234746.2,77673.1,57462.6,-85764.2,20210.5,-65553.6
2024-03-01,149234.8,233575.5,77581.4,57680.4,-84340.7,19901.0,-64439.7
2024-04-01,149636.2,235773.2,77620.7,57555.3,-86137.0,20065.4,-66071.5
2024-05-01,150814.6,234440.1,78226.5,57823.7,-83625.5,20402.7,-63222.8
2024-06-01,152216.7,237173.9,78375.4,57758.5,-84957.2,20616.9,-64340.3
2024-07-01,152279.0,235715.3,78108.8,57965.9,-83436.4,20142.9,-63293.5
2024-08-01,151360.7,234521.9,78006.7,57991.6,-83161.3,20015.1,-63146.1
2024-09-01,153549.3,236619.5,77929.6,57715.9,-83070.2,20213.7,-62856.5
2024-10-01,154847.4,234770.5,78815.1,58049.4,-79923.2,20765.7,-59157.5
2024-11-01,154212.3,232623.7,79439.3,58011.4,-78411.4,21427.9,-56983.5
2024-12-01,155248.3,235475.9,80106.3,57813.2,-80227.5,22293.1,-57934.5
2025-01-01,155811.4,233935.6,80001.7,57934.6,-78124.2,22067.0,-56057.2
2025-02-01,158128.9,233912.5,80543.7,58469.0,-75783.6,22074.8,-53708.9
2025-03-01,157390.4,232016.6,81139.7,58699.6,-74626.1,22440.1,-52186.1
2025-04-01,156258.5,231706.0,80967.8,58662.1,-75447.6,22305.7,-53141.9
2025-05-01,155367.1,231687.0,81340.3,58903.4,-76319.9,22437.0,-53882.9
2025-06-01,155432.1,232740.6,81002.8,59040.7,-77308.5,21962.1,-55346.5
2025-07-01,154960.0,233373.2,81454.5,59331.2,-78413.2,22123.3,-56289.9
2025-08-01,156733.6,235333.3,81413.3,59381.0,-78599.6,22032.3,-56567.4
2025-09-01,158051.7,237220.4,82220.9,59626.3,-79168.6,22594.5,-56574.1
2025-10-01,160243.9,236061.7,81928.6,59667.8,-75817.8,22260.8,-53557.0
2025-11-01,159074.0,233978.3,81568.1,59512.5,-74904.3,22055.6,-52848.7
2025-12-01,160064.4,231715.0,82452.7,59639.6,-71650.6,22813.1,-48837.5
2026-01-01,159728.3,232487.4,82354.4,60153.5,-72759.1,22201.0,-50558.2
2026-02-01,158316.8,232596.2,82331.2,59888.1,-74279.3,22443.1,-51836.2
2026-03-01,158057.0,233468.6,82327.0,60376.2,-75411.6,21950.8,-53460.8
2026-04-01,159813.0,231627.1,82482.2,60966.2,-71814.1,21516.0,-50298.1
2026-05-01,158916.4,230605.6,82892.1,60664.2,-71689.2,22227.9,-49461.3
2026-06-01,159347.2,229946.7,83476.4,60669.7,-70599.4,22806.7,-47792.7
2026-07-01,160737.0,229178.5,84048.2,60430.6,-68441.5,23617.6,-44823.9
2026-08-01,161267.0,227846.5,83945.9,60658.6,-66579.5,23287.3,-43292.2
