date,port,teu_throughput,congestion_index,avg_dwell_days,vessel_queue
2023-09-01,Los Angeles,656609.0,0.168,3.86,2
2023-09-01,Long Beach,611000.0,0.24,5.17,8
2023-09-01,New York/Newark,384585.0,0.318,5.49,3
2023-09-01,Savannah,824331.0,0.261,4.87,9
2023-09-01,Houston,495400.0,0.152,4.02,3
2023-09-01,Seattle,786743.0,0.364,5.9,13
2023-09-01,Oakland,861589.0,0.387,6.54,14
2023-09-01,Charleston,223635.0,0.197,4.84,7
2023-09-01,Norfolk,288296.0,0.287,5.09,8
2023-09-01,Miami,235434.0,0.33,5.7,7
2023-10-01,Los Angeles,283986.0,0.287,5.3,1
2023-10-01,Long Beach,493470.0,0.316,5.12,4
2023-10-01,New York/Newark,612821.0,0.18,4.52,5
2023-10-01,Savannah,578541.0,0.49,6.71,3
2023-10-01,Houston,258437.0,0.278,5.15,7
2023-10-01,Seattle,306684.0,0.152,4.56,3
2023-10-01,Oakland,519600.0,0.379,6.34,10
2023-10-01,Charleston,804961.0,0.279,4.92,8
2023-10-01,Norfolk,209310.0,0.308,5.57,9
2023-10-01,Miami,816802.0,0.481,6.85,11
2023-11-01,Los Angeles,287027.0,0.35,6.22,2
2023-11-01,Long Beach,674540.0,0.414,6.64,14
2023-11-01,New York/Newark,683651.0,0.4,6.1,12
2023-11-01,Savannah,542602.0,0.503,7.16,9
2023-11-01,Houston,780937.0,0.351,5.85,8
2023-11-01,Seattle,688948.0,0.238,5.33,6
2023-11-01,Oakland,358701.0,0.413,6.17,11
2023-11-01,Charleston,898839.0,0.422,6.16,5
2023-11-01,Norfolk,711868.0,0.451,6.47,7
2023-11-01,Miami,882154.0,0.256,5.28,9
2023-12-01,Los Angeles,343378.0,0.237,5.17,7
2023-12-01,Long Beach,550463.0,0.276,4.99,10
2023-12-01,New York/Newark,520761.0,0.406,6.67,5
2023-12-01,Savannah,820587.0,0.454,6.56,14
2023-12-01,Houston,872622.0,0.393,6.1,2
2023-12-01,Seattle,731780.0,0.379,6.01,10
2023-12-01,Oakland,844757.0,0.353,5.86,13
2023-12-01,Charleston,878041.0,0.411,6.21,15
2023-12-01,Norfolk,303107.0,0.19,4.32,2
2023-12-01,Miami,798459.0,0.239,4.58,1
2024-01-01,Los Angeles,548765.0,0.406,5.79,14
2024-01-01,Long Beach,878843.0,0.394,6.59,3
2024-01-01,New York/Newark,350399.0,0.47,6.41,16
2024-01-01,Savannah,769112.0,0.217,4.33,5
2024-01-01,Houston,657756.0,0.342,5.77,13
2024-01-01,Seattle,799322.0,0.405,6.57,11
2024-01-01,Oakland,888675.0,0.546,7.26,16
2024-01-01,Charleston,810367.0,0.282,5.56,3
2024-01-01,Norfolk,343888.0,0.22,4.69,8
2024-01-01,Miami,259158.0,0.533,7.09,9
2024-02-01,Los Angeles,283819.0,0.249,4.56,8
2024-02-01,Long Beach,763310.0,0.418,6.24,10
2024-02-01,New York/Newark,756820.0,0.318,5.05,5
2024-02-01,Savannah,283894.0,0.209,4.31,3
2024-02-01,Houston,413569.0,0.282,5.34,5
2024-02-01,Seattle,617508.0,0.487,7.38,18
2024-02-01,Oakland,574476.0,0.191,4.08,6
2024-02-01,Charleston,649602.0,0.348,6.01,11
2024-02-01,Norfolk,204227.0,0.492,7.15,6
2024-02-01,Miami,683864.0,0.387,6.05,8
2024-03-01,Los Angeles,555753.0,0.153,4.38,4
2024-03-01,Long Beach,510686.0,0.201,4.74,7
2024-03-01,New York/Newark,516142.0,0.216,4.7,6
2024-03-01,Savannah,782847.0,0.343,6.0,3
2024-03-01,Houston,286807.0,0.184,4.82,3
2024-03-01,Seattle,751758.0,0.19,4.25,3
2024-03-01,Oakland,847381.0,0.197,4.61,2
2024-03-01,Charleston,415586.0,0.17,4.54,2
2024-03-01,Norfolk,236539.0,0.284,5.31,6
2024-03-01,Miami,806158.0,0.345,6.07,13
