date,country,hs_code,commodity,critical,value_usd_m,flow
2026-03-01,UNITED ARAB EMIRATES,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,AFGHANISTAN,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,INDIA,8542,Electronic Integrated Circuits,True,0.777002,imports
2026-03-01,SRI LANKA,8542,Electronic Integrated Circuits,True,0.429018,imports
2026-03-01,THAILAND,8542,Electronic Integrated Circuits,True,83.997686,imports
2026-03-01,VIETNAM,8542,Electronic Integrated Circuits,True,229.301994,imports
2026-03-01,CAMBODIA,8542,Electronic Integrated Circuits,True,0.061181,imports
2026-03-01,MALAYSIA,8542,Electronic Integrated Circuits,True,920.616818,imports
2026-03-01,SINGAPORE,8542,Electronic Integrated Circuits,True,55.693905,imports
2026-03-01,INDONESIA,8542,Electronic Integrated Circuits,True,1.047586,imports
2026-03-01,PHILIPPINES,8542,Electronic Integrated Circuits,True,74.058718,imports
2026-03-01,MACAU,8542,Electronic Integrated Circuits,True,0.02948,imports
2026-03-01,MALDIVES,8542,Electronic Integrated Circuits,True,0.04455,imports
2026-03-01,CHINA,8542,Electronic Integrated Circuits,True,106.650511,imports
2026-03-01,"KOREA, SOUTH",8542,Electronic Integrated Circuits,True,291.564249,imports
2026-03-01,HONG KONG,8542,Electronic Integrated Circuits,True,1.153542,imports
2026-03-01,TAIWAN,8542,Electronic Integrated Circuits,True,1833.415454,imports
2026-03-01,JAPAN,8542,Electronic Integrated Circuits,True,147.257769,imports
2026-03-01,AUSTRALIA,8542,Electronic Integrated Circuits,True,0.547412,imports
2026-03-01,NEW ZEALAND,8542,Electronic Integrated Circuits,True,0.08237,imports
2026-03-01,COLOMBIA,8542,Electronic Integrated Circuits,True,0.070834,imports
2026-03-01,VENEZUELA,8542,Electronic Integrated Circuits,True,0.760602,imports
2026-03-01,SURINAME,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,ECUADOR,8542,Electronic Integrated Circuits,True,0.155673,imports
2026-03-01,PERU,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,BRAZIL,8542,Electronic Integrated Circuits,True,2.298134,imports
2026-03-01,ARGENTINA,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,ICELAND,8542,Electronic Integrated Circuits,True,0.085032,imports
2026-03-01,SWEDEN,8542,Electronic Integrated Circuits,True,0.731212,imports
2026-03-01,NORWAY,8542,Electronic Integrated Circuits,True,0.408061,imports
2026-03-01,FINLAND,8542,Electronic Integrated Circuits,True,0.100395,imports
2026-03-01,DENMARK,8542,Electronic Integrated Circuits,True,0.53131,imports
2026-03-01,UNITED KINGDOM,8542,Electronic Integrated Circuits,True,8.430679,imports
2026-03-01,IRELAND,8542,Electronic Integrated Circuits,True,197.67818,imports
2026-03-01,NETHERLANDS,8542,Electronic Integrated Circuits,True,4.992998,imports
2026-03-01,BELGIUM,8542,Electronic Integrated Circuits,True,0.662818,imports
2026-03-01,FRANCE,8542,Electronic Integrated Circuits,True,76.911736,imports
2026-03-01,GERMANY,8542,Electronic Integrated Circuits,True,84.306076,imports
2026-03-01,AUSTRIA,8542,Electronic Integrated Circuits,True,10.648589,imports
2026-03-01,CZECH REPUBLIC,8542,Electronic Integrated Circuits,True,1.022904,imports
2026-03-01,MOROCCO,8542,Electronic Integrated Circuits,True,0.17593,imports
2026-03-01,EGYPT,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,CAMEROON,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,SENEGAL,8542,Electronic Integrated Circuits,True,0.002655,imports
2026-03-01,MALI,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,SIERRA LEONE,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,NIGER,8542,Electronic Integrated Circuits,True,0.004614,imports
2026-03-01,RWANDA,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,SLOVAKIA,8542,Electronic Integrated Circuits,True,0.07128,imports
2026-03-01,HUNGARY,8542,Electronic Integrated Circuits,True,1.197212,imports
2026-03-01,SWITZERLAND,8542,Electronic Integrated Circuits,True,2.615567,imports
2026-03-01,ESTONIA,8542,Electronic Integrated Circuits,True,0.002223,imports
2026-03-01,LATVIA,8542,Electronic Integrated Circuits,True,0.06693,imports
2026-03-01,LITHUANIA,8542,Electronic Integrated Circuits,True,0.12724,imports
2026-03-01,POLAND,8542,Electronic Integrated Circuits,True,2.812457,imports
2026-03-01,UKRAINE,8542,Electronic Integrated Circuits,True,0.003973,imports
2026-03-01,GEORGIA,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,SPAIN,8542,Electronic Integrated Circuits,True,0.608691,imports
2026-03-01,PORTUGAL,8542,Electronic Integrated Circuits,True,0.031985,imports
2026-03-01,MALTA,8542,Electronic Integrated Circuits,True,0.478699,imports
2026-03-01,ITALY,8542,Electronic Integrated Circuits,True,10.520784,imports
2026-03-01,CROATIA,8542,Electronic Integrated Circuits,True,0.009749,imports
2026-03-01,SLOVENIA,8542,Electronic Integrated Circuits,True,0.021493,imports
2026-03-01,SERBIA,8542,Electronic Integrated Circuits,True,0.010011,imports
2026-03-01,MONTENEGRO,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,ALBANIA,8542,Electronic Integrated Circuits,True,0.010102,imports
2026-03-01,GREECE,8542,Electronic Integrated Circuits,True,0.949392,imports
2026-03-01,ROMANIA,8542,Electronic Integrated Circuits,True,0.11932,imports
2026-03-01,BULGARIA,8542,Electronic Integrated Circuits,True,0.017275,imports
2026-03-01,TURKEY,8542,Electronic Integrated Circuits,True,0.450614,imports
2026-03-01,ISRAEL,8542,Electronic Integrated Circuits,True,437.242968,imports
2026-03-01,JORDAN,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,SAUDI ARABIA,8542,Electronic Integrated Circuits,True,0.0,imports
2026-03-01,TOTAL FOR ALL COUNTRIES,8542,Electronic Integrated Circuits,True,4684.700629,imports
2026-03-01,EUROPEAN UNION,8542,Electronic Integrated Circuits,True,394.620948,imports
2026-03-01,NORTH AMERICA,8542,Electronic Integrated Circuits,True,21.058585,imports
2026-03-01,EUROPE,8542,Electronic Integrated Circuits,True,406.634987,imports
2026-03-01,AFRICA,8542,Electronic Integrated Circuits,True,0.226179,imports
2026-03-01,PACIFIC RIM COUNTRIES,8542,Electronic Integrated Circuits,True,3432.117814,imports
2026-03-01,ASIA,8542,Electronic Integrated Circuits,True,4183.342431,imports
2026-03-01,CAFTA-DR,8542,Electronic Integrated Circuits,True,69.523422,imports
2026-03-01,AUSTRALIA AND OCEANIA,8542,Electronic Integrated Circuits,True,0.629782,imports
2026-03-01,USMCA (NAFTA),8542,Electronic Integrated Circuits,True,21.058585,imports
2026-03-01,TWENTY LATIN AMERICAN REPUBLICS,8542,Electronic Integrated Circuits,True,83.789525,imports
