date,country,hs_code,commodity,critical,value_usd_m,flow
2021-09-01,China,8542,Electronic Integrated Circuits,True,5729.75,imports
2021-09-01,Mexico,8542,Electronic Integrated Circuits,True,147.39,imports
2021-09-01,Canada,8542,Electronic Integrated Circuits,True,296.05,imports
2021-09-01,Japan,8542,Electronic Integrated Circuits,True,226.03,imports
2021-09-01,Germany,8542,Electronic Integrated Circuits,True,64.55,imports
2021-09-01,South Korea,8542,Electronic Integrated Circuits,True,8048.89,imports
2021-09-01,Vietnam,8542,Electronic Integrated Circuits,True,276.3,imports
2021-09-01,India,8542,Electronic Integrated Circuits,True,232.06,imports
2021-09-01,Taiwan,8542,Electronic Integrated Circuits,True,1826.73,imports
2021-09-01,United Kingdom,8542,Electronic Integrated Circuits,True,168.91,imports
2021-09-01,Brazil,8542,Electronic Integrated Circuits,True,141.81,imports
2021-09-01,France,8542,Electronic Integrated Circuits,True,304.69,imports
2021-09-01,Italy,8542,Electronic Integrated Circuits,True,215.89,imports
2021-09-01,Netherlands,8542,Electronic Integrated Circuits,True,248.94,imports
2021-09-01,Thailand,8542,Electronic Integrated Circuits,True,171.48,imports
2021-09-01,Malaysia,8542,Electronic Integrated Circuits,True,2325.82,imports
2021-09-01,Singapore,8542,Electronic Integrated Circuits,True,170.92,imports
2021-09-01,Australia,8542,Electronic Integrated Circuits,True,56.48,imports
2021-09-01,Saudi Arabia,8542,Electronic Integrated Circuits,True,262.2,imports
2021-09-01,Switzerland,8542,Electronic Integrated Circuits,True,189.83,imports
2021-09-01,China,8703,Motor Cars & Vehicles,False,1479.53,imports
2021-09-01,Mexico,8703,Motor Cars & Vehicles,False,990.29,imports
2021-09-01,Canada,8703,Motor Cars & Vehicles,False,1716.19,imports
2021-09-01,Japan,8703,Motor Cars & Vehicles,False,1316.1,imports
2021-09-01,Germany,8703,Motor Cars & Vehicles,False,394.79,imports
2021-09-01,South Korea,8703,Motor Cars & Vehicles,False,1701.5,imports
2021-09-01,Vietnam,8703,Motor Cars & Vehicles,False,1488.82,imports
2021-09-01,India,8703,Motor Cars & Vehicles,False,1453.12,imports
2021-09-01,Taiwan,8703,Motor Cars & Vehicles,False,474.94,imports
2021-09-01,United Kingdom,8703,Motor Cars & Vehicles,False,1112.68,imports
2021-09-01,Brazil,8703,Motor Cars & Vehicles,False,1003.0,imports
2021-09-01,France,8703,Motor Cars & Vehicles,False,1764.52,imports
2021-09-01,Italy,8703,Motor Cars & Vehicles,False,1497.4,imports
2021-09-01,Netherlands,8703,Motor Cars & Vehicles,False,1479.74,imports
2021-09-01,Thailand,8703,Motor Cars & Vehicles,False,1082.51,imports
2021-09-01,Malaysia,8703,Motor Cars & Vehicles,False,584.16,imports
2021-09-01,Singapore,8703,Motor Cars & Vehicles,False,1327.33,imports
2021-09-01,Australia,8703,Motor Cars & Vehicles,False,327.98,imports
2021-09-01,Saudi Arabia,8703,Motor Cars & Vehicles,False,1515.58,imports
