entity_type,entity_id,entity_name,cluster,total_import_12m_usd_m,cluster_label
country,AFGHANISTAN,AFGHANISTAN,0,0.01,CountryCluster-0
country,AFRICA,AFRICA,0,2361.27,CountryCluster-0
country,ALBANIA,ALBANIA,0,0.2,CountryCluster-0
country,ALGERIA,ALGERIA,0,151.09,CountryCluster-0
country,ANDORRA,ANDORRA,0,0.09,CountryCluster-0
country,ANGOLA,ANGOLA,0,138.22,CountryCluster-0
country,ANGUILLA,ANGUILLA,0,0.0,CountryCluster-0
country,ANTIGUA AND BARBUDA,ANTIGUA AND BARBUDA,0,0.0,CountryCluster-0
country,APEC,APEC,1,315214.06,CountryCluster-1
country,ARGENTINA,ARGENTINA,0,836.28,CountryCluster-0
country,ARMENIA,ARMENIA,0,0.03,CountryCluster-0
country,ARUBA,ARUBA,0,0.0,CountryCluster-0
country,ASEAN,ASEAN,4,71063.56,CountryCluster-4
country,ASIA,ASIA,3,198335.49,CountryCluster-3
country,AUSTRALIA,AUSTRALIA,0,87.84,CountryCluster-0
country,AUSTRALIA AND OCEANIA,AUSTRALIA AND OCEANIA,0,113.05,CountryCluster-0
country,AUSTRIA,AUSTRIA,0,1097.39,CountryCluster-0
country,AZERBAIJAN,AZERBAIJAN,0,0.01,CountryCluster-0
country,BAHAMAS,BAHAMAS,0,0.0,CountryCluster-0
country,BAHRAIN,BAHRAIN,0,0.0,CountryCluster-0
country,BANGLADESH,BANGLADESH,0,6.34,CountryCluster-0
country,BARBADOS,BARBADOS,0,0.04,CountryCluster-0
country,BELARUS,BELARUS,0,0.0,CountryCluster-0
country,BELGIUM,BELGIUM,0,555.86,CountryCluster-0
country,BELIZE,BELIZE,0,0.0,CountryCluster-0
country,BENIN,BENIN,0,0.0,CountryCluster-0
country,BERMUDA,BERMUDA,0,0.15,CountryCluster-0
country,BHUTAN,BHUTAN,0,0.0,CountryCluster-0
country,BOLIVIA,BOLIVIA,0,0.0,CountryCluster-0
country,BOSNIA AND HERZEGOVINA,BOSNIA AND HERZEGOVINA,0,1.78,CountryCluster-0
country,BOTSWANA,BOTSWANA,0,0.12,CountryCluster-0
country,BRAZIL,BRAZIL,0,1315.66,CountryCluster-0
