hs_code,commodity,forecast_date,horizon_month,forecast_import_usd_m,lower_80,upper_80,model,historical_12m_import_usd_m
8471,Automatic Data Processing Machines,2026-07-01,1,34768.32,34386.58,35150.06,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-08-01,2,34670.31,33865.74,35474.89,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-09-01,3,34648.03,33525.84,35770.22,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-10-01,4,34642.96,33265.32,36020.6,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-11-01,5,34641.81,33047.26,36236.36,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-12-01,6,34641.55,32855.86,36427.24,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-01-01,7,34641.49,32683.14,36599.84,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-02-01,8,34641.48,32524.49,36758.46,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-03-01,9,34641.47,32376.94,36906.01,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-04-01,10,34641.47,32238.42,37044.52,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-05-01,11,34641.47,32107.47,37175.47,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2027-06-01,12,34641.47,31982.96,37299.98,"ARIMA(1,1,1)",138787.06
8471,Automatic Data Processing Machines,2026-07-01,1,6025.85,4712.9,7338.8,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2026-08-01,2,5966.05,3607.69,8324.42,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2026-09-01,3,5986.8,3057.99,8915.6,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2026-10-01,4,5979.6,2534.53,9424.67,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2026-11-01,5,5982.1,2101.05,9863.14,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2026-12-01,6,5981.23,1704.56,10257.9,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-01-01,7,5981.53,1344.11,10618.95,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-02-01,8,5981.43,1008.96,10953.9,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-03-01,9,5981.46,695.27,11267.66,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-04-01,10,5981.45,399.09,11563.81,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-05-01,11,5981.46,117.88,11845.03,"ARIMA(1,1,1)-exports",138787.06
8471,Automatic Data Processing Machines,2027-06-01,12,5981.45,0.0,12113.36,"ARIMA(1,1,1)-exports",138787.06
8517,Telephone Sets & Network Equipment,2026-07-01,1,16977.84,15696.03,18259.66,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-08-01,2,17173.94,15214.71,19133.17,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-09-01,3,17025.9,14657.02,19394.78,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-10-01,4,17137.66,14362.69,19912.63,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-11-01,5,17053.29,13963.13,20143.45,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-12-01,6,17116.98,13714.32,20519.64,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-01-01,7,17068.9,13398.7,20739.1,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-02-01,8,17105.2,13172.58,21037.82,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-03-01,9,17077.8,12908.53,21247.06,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-04-01,10,17098.48,12698.63,21498.34,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-05-01,11,17082.87,12468.72,21697.01,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2027-06-01,12,17094.66,12272.27,21917.04,"ARIMA(1,1,1)",62225.12
8517,Telephone Sets & Network Equipment,2026-07-01,1,4667.26,4420.32,4914.19,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2026-08-01,2,4657.28,4235.02,5079.54,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2026-09-01,3,4661.83,4144.21,5179.44,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2026-10-01,4,4659.75,4051.68,5267.83,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2026-11-01,5,4660.7,3978.11,5343.29,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2026-12-01,6,4660.27,3908.83,5411.71,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2027-01-01,7,4660.46,3846.69,5474.24,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2027-02-01,8,4660.37,3788.41,5532.34,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2027-03-01,9,4660.41,3734.03,5586.79,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2027-04-01,10,4660.4,3682.57,5638.22,"ARIMA(1,1,1)-exports",62225.12
8517,Telephone Sets & Network Equipment,2027-05-01,11,4660.4,3633.73,5687.08,"ARIMA(1,1,1)-exports",62225.12
