port,avg_congestion,avg_dwell_days,avg_vessel_queue,teu_throughput,port_congestion_score_0_100,bottleneck_flag
Long Beach,0.612,7.673333333333333,14.33333333333333,495974.6666666667,53.1,False
Los Angeles,0.5143333333333333,7.143333333333334,8.666666666666666,510304.0,44.3,False
Oakland,0.478,6.52,13.0,553606.0,43.4,False
Seattle,0.4983333333333334,6.836666666666666,7.333333333333333,644482.0,42.3,False
Norfolk,0.4346666666666667,6.193333333333332,6.333333333333333,824259.6666666666,37.3,False
Houston,0.4136666666666666,6.493333333333333,5.666666666666667,422168.3333333333,36.5,False
Savannah,0.3606666666666667,5.95,7.666666666666667,832344.0,33.8,False
Miami,0.356,5.786666666666666,5.333333333333333,677781.6666666666,32.0,False
New York/Newark,0.2666666666666667,5.100000000000001,6.0,503511.3333333333,26.5,False
Charleston,0.2426666666666667,4.986666666666667,5.666666666666667,857508.0,24.9,False
