hs_code,commodity,critical,top_supplier,top_supplier_share_pct,top3_share_pct,hhi,n_suppliers,import_12m_usd_m,dependency_score_0_100,risk_tier,commodity_short
1005,Maize (Corn),False,France,7.61,22.02,0.0577,20,334683.63,100,Critical,Maize (Corn)
7208,Flat-Rolled Iron/Steel,False,South Korea,8.12,22.13,0.0576,20,267051.6,100,Critical,Flat-Rolled Iron/Steel
9018,Medical Instruments,True,South Korea,7.88,21.92,0.0576,20,296996.48,100,Critical,Medical Instruments
8802,Aircraft & Spacecraft,True,South Korea,7.94,22.14,0.0576,20,363467.25,100,Critical,Aircraft & Spacecraft
8708,Motor Vehicle Parts,False,South Korea,7.94,22.95,0.0581,20,339057.64,100,Critical,Motor Vehicle Parts
8703,Motor Cars & Vehicles,False,South Korea,8.09,22.54,0.0579,20,375737.96,100,Critical,Motor Cars & Vehicles
8542,Electronic Integrated Circuits,True,South Korea,39.26,72.77,0.2238,14,195466.03,100,Critical,Electronic Integrated Circuits
8517,Telephone Sets & Network Equipment,True,France,7.43,21.99,0.0575,20,301544.19,100,Critical,Telephone Sets & Network Equipme
8507,Electric Accumulators,True,South Korea,34.57,85.74,0.252,9,254980.23,100,Critical,Electric Accumulators
8504,Electrical Transformers,False,South Korea,8.04,22.11,0.0579,20,258612.69,100,Critical,Electrical Transformers
8471,Automatic Data Processing Machines,True,South Korea,8.12,22.78,0.058,20,279966.03,100,Critical,Automatic Data Processing Machin
8112,"Beryllium, Chromium, Germanium etc.",True,China,45.02,74.07,0.2786,16,124048.63,100,Critical,"Beryllium, Chromium, Germanium e"
7108,Gold Unwrought,False,South Korea,8.14,22.42,0.0578,20,321920.49,100,Critical,Gold Unwrought
1201,Soya Beans,False,South Korea,8.16,22.57,0.0576,20,318878.49,100,Critical,Soya Beans
6109,T-shirts & Singlets,False,South Korea,7.69,22.06,0.0576,20,340940.65,100,Critical,T-shirts & Singlets
3901,Polymers of Ethylene,False,France,7.78,22.46,0.0577,20,397728.6,100,Critical,Polymers of Ethylene
3004,Medicaments Packaged,True,South Korea,7.91,22.26,0.0575,20,284815.02,100,Critical,Medicaments Packaged
2902,Cyclic Hydrocarbons,False,South Korea,7.59,22.08,0.0575,20,275306.42,100,Critical,Cyclic Hydrocarbons
2844,Radioactive Chemical Elements,True,Canada,37.71,80.56,0.2739,13,185167.91,100,Critical,Radioactive Chemical Elements
2804,"Hydrogen, Rare Gases, Silicon",True,China,36.23,79.4,0.2581,14,191844.76,100,Critical,"Hydrogen, Rare Gases, Silicon"
2711,Petroleum Gases,True,South Korea,8.24,22.56,0.058,20,355621.07,100,Critical,Petroleum Gases
2709,Crude Petroleum Oils,True,South Korea,8.02,22.1,0.0574,20,294847.38,100,Critical,Crude Petroleum Oils
2615,"Niobium, Tantalum, Vanadium Ores",True,Canada,44.17,75.48,0.257,17,161815.64,100,Critical,"Niobium, Tantalum, Vanadium Ores"
2601,Iron Ores & Concentrates,True,South Korea,7.89,22.16,0.0578,20,214143.18,100,Critical,Iron Ores & Concentrates
9401,Seats,False,South Korea,7.74,22.03,0.0577,20,322090.25,100,Critical,Seats
