hs_code,commodity,forecast_date,horizon_month,forecast_import_usd_m,lower_80,upper_80,model,historical_12m_import_usd_m,commodity_short
3901,Polymers of Ethylene,2026-09-01,1,32916.86,16424.68,49409.05,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2026-10-01,2,31845.62,15304.48,48386.76,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2026-11-01,3,31925.94,15209.73,48642.16,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2026-12-01,4,31919.92,15042.46,48797.38,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-01-01,5,31920.37,14882.32,48958.43,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-02-01,6,31920.34,14723.26,49117.42,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-03-01,7,31920.34,14565.68,49275.0,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-04-01,8,31920.34,14409.52,49431.16,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-05-01,9,31920.34,14254.74,49585.94,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-06-01,10,31920.34,14101.31,49739.38,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-07-01,11,31920.34,13949.18,49891.5,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
3901,Polymers of Ethylene,2027-08-01,12,31920.34,13798.33,50042.35,"ARIMA(1,1,1)",397728.6,Polymers of Ethylene
8703,Motor Cars & Vehicles,2026-09-01,1,29600.25,11542.88,47657.61,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2026-10-01,2,29588.33,11339.51,47837.16,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2026-11-01,3,29587.52,11270.11,47904.93,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2026-12-01,4,29587.47,11207.79,47967.15,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-01-01,5,29587.46,11146.12,48028.8,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-02-01,6,29587.46,11084.69,48090.23,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-03-01,7,29587.46,11023.47,48151.46,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-04-01,8,29587.46,10962.45,48212.48,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-05-01,9,29587.46,10901.62,48273.3,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-06-01,10,29587.46,10841.0,48333.93,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-07-01,11,29587.46,10780.57,48394.36,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8703,Motor Cars & Vehicles,2027-08-01,12,29587.46,10720.33,48454.59,"ARIMA(1,1,1)",375737.96,Motor Cars & Vehicles
8802,Aircraft & Spacecraft,2026-09-01,1,29350.27,12657.71,46042.83,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2026-10-01,2,28140.73,11433.06,44848.39,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2026-11-01,3,28227.25,11417.08,45037.41,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2026-12-01,4,28221.06,11317.79,45124.33,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-01-01,5,28221.5,11225.02,45217.98,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-02-01,6,28221.47,11132.33,45310.61,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-03-01,7,28221.47,11040.17,45402.77,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-04-01,8,28221.47,10948.5,45494.44,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-05-01,9,28221.47,10857.32,45585.62,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-06-01,10,28221.47,10766.61,45676.33,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-07-01,11,28221.47,10676.37,45766.57,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
8802,Aircraft & Spacecraft,2027-08-01,12,28221.47,10586.59,45856.35,"ARIMA(1,1,1)",363467.25,Aircraft & Spacecraft
2711,Petroleum Gases,2026-09-01,1,25241.1,6745.97,43736.24,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2026-10-01,2,29341.53,10725.62,47957.43,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2026-11-01,3,28454.63,9692.09,47217.18,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2026-12-01,4,28646.46,9833.46,47459.47,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-01-01,5,28604.97,9725.28,47484.67,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-02-01,6,28613.95,9671.52,47556.38,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-03-01,7,28612.0,9606.25,47617.76,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-04-01,8,28612.42,9543.73,47681.12,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-05-01,9,28612.33,9480.87,47743.79,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-06-01,10,28612.35,9418.34,47806.37,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-07-01,11,28612.35,9355.98,47868.72,"ARIMA(1,1,1)",355621.07,Petroleum Gases
2711,Petroleum Gases,2027-08-01,12,28612.35,9293.82,47930.88,"ARIMA(1,1,1)",355621.07,Petroleum Gases
6109,T-shirts & Singlets,2026-09-01,1,25717.94,10010.9,41424.99,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2026-10-01,2,25453.81,9632.66,41274.96,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2026-11-01,3,25436.51,9584.32,41288.7,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2026-12-01,4,25435.38,9555.8,41314.96,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-01-01,5,25435.3,9528.61,41341.99,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-02-01,6,25435.3,9501.56,41369.04,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-03-01,7,25435.3,9474.55,41396.05,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-04-01,8,25435.3,9447.59,41423.0,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-05-01,9,25435.3,9420.68,41449.92,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-06-01,10,25435.3,9393.81,41476.79,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-07-01,11,25435.3,9366.99,41503.61,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
6109,T-shirts & Singlets,2027-08-01,12,25435.3,9340.21,41530.39,"ARIMA(1,1,1)",340940.65,T-shirts & Singlets
8708,Motor Vehicle Parts,2026-09-01,1,25677.38,10824.47,40530.29,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2026-10-01,2,26647.18,11510.61,41783.75,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2026-11-01,3,26764.69,11556.89,41972.5,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2026-12-01,4,26778.93,11516.09,42041.77,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-01-01,5,26780.66,11464.77,42096.55,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-02-01,6,26780.87,11412.32,42149.42,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-03-01,7,26780.89,11359.89,42201.89,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-04-01,8,26780.9,11307.62,42254.17,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-05-01,9,26780.9,11255.53,42306.26,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-06-01,10,26780.9,11203.61,42358.18,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-07-01,11,26780.9,11151.86,42409.93,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
8708,Motor Vehicle Parts,2027-08-01,12,26780.9,11100.29,42461.51,"ARIMA(1,1,1)",339057.64,Motor Vehicle Parts
1005,Maize (Corn),2026-09-01,1,28316.09,11537.95,45094.24,"ARIMA(1,1,1)",334683.63,Maize (Corn)
1005,Maize (Corn),2026-10-01,2,26401.47,9617.83,43185.1,"ARIMA(1,1,1)",334683.63,Maize (Corn)
